kW,HP,FLC_Star,FLC_Delta,MPCB_Schneider_Model,MPCB_Schneider_Range,MPCB_Schneider_Next_Model,MPCB_Schneider_Next_Range,MPCB_ABB_Model,MPCB_ABB_Range,Contactor_ABB,Contactor_ABB_Amp,Contactor_Siemens,Contactor_Siemens_Amp,Contactor_L&T,Contactor_L&T_Amp,Cable_Al,Cable_Cu,Cable_Gland,Bearing_ABB_DE,Bearing_ABB_NDE,Bearing_Siemens_DE,Bearing_Siemens_NDE
0.37,0.5,0.67,1.16,GV2ME02,0.4–0.63 A,GV2ME03,0.63–1.0 A,MS116-1,0.6–1.0 A,A9-30-10,9 A,3RT2015,9 A,MNX-9,9 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
0.74,0.99,1.33,2.3,GV2ME02,0.4–0.63 A,GV2ME03,0.63–1.0 A,MS116-1,0.6–1.0 A,A9-30-10,9 A,3RT2015,9 A,MNX-9,9 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
1.11,1.49,2.0,3.46,GV2ME05,1.0–1.6 A,GV2ME06,1.6–2.5 A,MS116-2.5,1.6–2.5 A,A9-30-10,9 A,3RT2015,9 A,MNX-9,9 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
1.48,1.98,2.66,4.61,GV2ME07,2.5–4 A,GV2ME08,4–6.3 A,MS116-4,2.5–4 A,A9-30-10,9 A,3RT2015,9 A,MNX-9,9 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
1.85,2.48,3.33,5.77,GV2ME07,2.5–4 A,GV2ME08,4–6.3 A,MS116-4,2.5–4 A,A9-30-10,9 A,3RT2015,9 A,MNX-9,9 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
2.22,2.98,4.0,6.93,GV2ME07,2.5–4 A,GV2ME08,4–6.3 A,MS116-4,2.5–4 A,A9-30-10,9 A,3RT2015,9 A,MNX-9,9 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
2.59,3.47,4.66,8.07,GV2ME08,4–6.3 A,GV2ME10,6–10 A,MS116-6.3,4–6.3 A,A9-30-10,9 A,3RT2015,9 A,MNX-9,9 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
2.96,3.97,5.33,9.23,GV2ME08,4–6.3 A,GV2ME10,6–10 A,MS116-6.3,4–6.3 A,A9-30-10,9 A,3RT2015,9 A,MNX-9,9 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
3.33,4.47,5.99,10.37,GV2ME08,4–6.3 A,GV2ME10,6–10 A,MS116-6.3,4–6.3 A,A9-30-10,9 A,3RT2015,9 A,MNX-9,9 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
3.7,4.96,6.66,11.54,GV2ME10,6–10 A,GV2ME14,9–14 A,MS116-10,6–10 A,A9-30-10,9 A,3RT2015,9 A,MNX-9,9 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
